instance,family,vcpu,memory,cpu,arch,gpu,gpu_mem,net,storage,gen,usd_hr
r6i.xlarge,Memory optimized,4,32 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.252
r5.xlarge,Memory optimized,4,32 GiB,Intel Xeon Platinum 8175,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.252
i7ie.large,Storage optimized,2,16 GiB,Intel Xeon Scalable (Emerald Rapids),64-bit,,NA,Up to 25 Gigabit,1 x 1250 NVMe SSD,Yes,0.2599
m8id.xlarge,General purpose,4,16 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 12500 Megabit,1 x 237 NVMe SSD,Yes,0.26104
r5ad.xlarge,Memory optimized,4,32 GiB,AMD EPYC 7571,64-bit,,NA,Up to 10 Gigabit,1 x 150 NVMe SSD,Yes,0.262
r8i-flex.xlarge,Memory optimized,4,32 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.26394
r7i.xlarge,Memory optimized,4,32 GiB,Intel Xeon Scalable (Sapphire Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.2646
m3.xlarge,General purpose,4,15 GiB,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),64-bit,,NA,High,2 x 40 SSD,No,0.266
r4.xlarge,Memory optimized,4,30.5 GiB,Intel Xeon E5-2686 v4 (Broadwell),64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.266
t4g.2xlarge,General purpose,8,32 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 5 Gigabit,EBS only,Yes,0.2688
c6g.2xlarge,Compute optimized,8,16 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.272
m5dn.xlarge,General purpose,4,16 GiB,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,,NA,Up to 25 Gigabit,1 x 150 NVMe SSD,Yes,0.272
c8ib.xlarge,Compute optimized,4,8 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 20 Gigabit,EBS only,Yes,0.27216
c8in.xlarge,Compute optimized,4,8 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 30 Gigabit,EBS only,Yes,0.27216
r7gd.xlarge,Memory optimized,4,32 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 12500 Megabit,1 x 237 NVMe SSD,Yes,0.2722
r8i.xlarge,Memory optimized,4,32 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.27784
m6in.xlarge,General purpose,4,16 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 30000 Megabit,EBS only,Yes,0.27846
r5d.xlarge,Memory optimized,4,32 GiB,Intel Xeon Platinum 8175,64-bit,,NA,Up to 10 Gigabit,1 x 150 NVMe SSD,Yes,0.288
is4gen.large,Storage optimized,2,12 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 25 Gigabit,1 x 1875 SSD,Yes,0.28815
c7g.2xlarge,Compute optimized,8,16 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 15 Gigabit,EBS only,Yes,0.29
m8gb.xlarge,General purpose,4,16 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 26.667 Gigabit,EBS only,Yes,0.291
m8gn.xlarge,General purpose,4,16 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 40 Gigabit,EBS only,Yes,0.291
r8gd.xlarge,Memory optimized,4,32 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 12500 Megabit,1 x 237 NVMe SSD,Yes,0.29392
r5n.xlarge,Memory optimized,4,32 GiB,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,,NA,Up to 25 Gigabit,EBS only,Yes,0.298
r5b.xlarge,Memory optimized,4,32 GiB,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.298
t3a.2xlarge,General purpose,8,32 GiB,AMD EPYC 7571,64-bit,,NA,Up to 5 Gigabit,EBS only,Yes,0.3008
r6id.xlarge,Memory optimized,4,32 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 12500 Megabit,1 x 237 NVMe SSD,Yes,0.3024
r7a.xlarge,Memory optimized,4,32 GiB,AMD EPYC 9R14 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.3043
c6a.2xlarge,Compute optimized,8,16 GiB,AMD EPYC 7R13 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.306
c6gd.2xlarge,Compute optimized,8,16 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,1 x 475 NVMe SSD,Yes,0.3072
m6g.2xlarge,General purpose,8,32 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.308
c5a.2xlarge,Compute optimized,8,16 GiB,AMD EPYC 7R32,32-bit or 64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.308
i4g.xlarge,Storage optimized,4,32 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,1 x 937 SSD,Yes,0.30888
i3.xlarge,Storage optimized,4,30.5 GiB,Intel Xeon E5-2686 v4 (Broadwell),64-bit,,NA,Up to 10 Gigabit,1 x 950 NVMe SSD,Yes,0.312
m6idn.xlarge,General purpose,4,16 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 30000 Megabit,1 x 237 NVMe SSD,Yes,0.31824
c8g.2xlarge,Compute optimized,8,16 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 15 Gigabit,EBS only,Yes,0.31904
r8a.xlarge,Memory optimized,4,32 GiB,AMD EPYC 9R45 Processor,64-bit,,NA,Up to 15000 Megabit,EBS only,Yes,0.31952
m7g.2xlarge,General purpose,8,32 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 15 Gigabit,EBS only,Yes,0.3264
m5zn.xlarge,General purpose,4,16 GiB,Intel Xeon Platinum 8252,64-bit,,NA,Up to 25 Gigabit,EBS only,Yes,0.3303
r8id.xlarge,Memory optimized,4,32 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 12500 Megabit,1 x 237 NVMe SSD,Yes,0.33264
t3.2xlarge,General purpose,8,32 GiB,Intel Skylake E5 2686 v5,64-bit,,NA,Up to 5 Gigabit,EBS only,Yes,0.3328
r3.xlarge,Memory optimized,4,30.5 GiB,Intel Xeon E5-2670 v2 (Ivy Bridge),64-bit,,NA,Moderate,1 x 80 SSD,No,0.333
r5dn.xlarge,Memory optimized,4,32 GiB,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,,NA,Up to 25 Gigabit,1 x 150 NVMe SSD,Yes,0.334
x2gd.xlarge,Memory optimized,4,64 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,1 x 237 SSD,Yes,0.334
m8in.xlarge,General purpose,4,16.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 30 Gigabit,EBS only,Yes,0.33416
m8ib.xlarge,General purpose,4,16.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 20 Gigabit,EBS only,Yes,0.33416
c7i-flex.2xlarge,Compute optimized,8,16 GiB,Intel Xeon Scalable (Sapphire Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.33915
c5.2xlarge,Compute optimized,8,16 GiB,Intel Xeon Platinum 8124M,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.34
c6i.2xlarge,Compute optimized,8,16 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.34
c8ine.xlarge,Compute optimized,4,8 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,6.25 Gigabit,EBS only,Yes,0.3402
i4i.xlarge,Storage optimized,4,32 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 10 Gigabit,1 x 937 NVMe SSD,Yes,0.343
i8g.xlarge,Storage optimized,4,32 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 10 Gigabit,1 x 937GB,Yes,0.3432
c5ad.2xlarge,Compute optimized,8,16 GiB,AMD EPYC 7R32,64-bit,,NA,Up to 10 Gigabit,1 x 300 NVMe SSD,Yes,0.344
m5a.2xlarge,General purpose,8,32 GiB,AMD EPYC 7571,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.344
m6a.2xlarge,General purpose,8,32 GiB,AMD EPYC 7R13 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.3456
c6gn.2xlarge,Compute optimized,8,16 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 25 Gigabit,EBS only,Yes,0.3456
c9g.2xlarge,Compute optimized,8,16.0 GiB,AWS Graviton5 Processor,64-bit,,NA,Up to 17 Gigabit,EBS only,Yes,0.34776
r6in.xlarge,Memory optimized,4,32 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 30000 Megabit,EBS only,Yes,0.34866
m1.xlarge,General purpose,4,15 GiB,Intel Xeon Family,64-bit,,NA,High,4 x 420 SSD,No,0.35
c8i-flex.2xlarge,Compute optimized,8,16 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 15000 Megabit,EBS only,Yes,0.35608
c7i.2xlarge,Compute optimized,8,16 GiB,Intel Xeon Scalable (Sapphire Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.357
m8g.2xlarge,General purpose,8,32 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 15 Gigabit,EBS only,Yes,0.35904
m6gd.2xlarge,General purpose,8,32 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,1 x 475 NVMe SSD,Yes,0.3616
inf1.2xlarge,Machine Learning ASIC Instances,8,16 GiB,Intel Xeon Platinum 8275CL (Cascade Lake),64-bit,1,NA,Up to 25 Gigabit,EBS only,Yes,0.362
c7gd.2xlarge,Compute optimized,8,16 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 15 Gigabit,1 x 475 NVMe SSD,Yes,0.3629
im4gn.xlarge,Storage optimized,4,16 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 25 Gigabit,1 x 1875 SSD,Yes,0.36379
r8gb.xlarge,Memory optimized,4,32 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 26.667 Gigabit,EBS only,Yes,0.36436
r8gn.xlarge,Memory optimized,4,32 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 40 Gigabit,EBS only,Yes,0.3644
t2.2xlarge,General purpose,8,32 GiB,Intel Xeon Family,64-bit,,NA,Moderate,EBS only,Yes,0.3712
r7iz.xlarge,Memory optimized,4,32 GiB,Intel Xeon Scalable (Sapphire Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.372
z1d.xlarge,Memory optimized,4,32 GiB,Intel Xeon Platinum 8151,64-bit,,NA,Up to 10 Gigabit,1 x 150 NVMe SSD,Yes,0.372
c8i.2xlarge,Compute optimized,8,16 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 15000 Megabit,EBS only,Yes,0.37484
i7i.xlarge,Storage optimized,4,32 GiB,Intel Xeon Scalable (Emerald Rapids),64-bit,,NA,Up to 10 Gigabit,1 x 937 NVMe SSD,Yes,0.3775
g4ad.xlarge,GPU instance,4,16 GiB,AMD EPYC 7R32,64-bit,1,8 GB,Up to 10 Gigabit,150 GB NVMe SSD,Yes,0.37853
m8idb.xlarge,General purpose,4,16.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 20 Gigabit,1 x 237 NVMe SSD,Yes,0.38188
m8idn.xlarge,General purpose,4,16.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 30 Gigabit,1 x 237 NVMe SSD,Yes,0.38188
m7i-flex.2xlarge,General purpose,8,32 GiB,Intel Xeon Scalable (Sapphire Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.38304
m6i.2xlarge,General purpose,8,32 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.384
c5d.2xlarge,Compute optimized,8,16 GiB,Intel Xeon Platinum 8124M,64-bit,,NA,Up to 10 Gigabit,1 x 200 NVMe SSD,Yes,0.384
m5.2xlarge,General purpose,8,32 GiB,Intel Xeon Platinum 8175,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.384
r6idn.xlarge,Memory optimized,4,32 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 30000 Megabit,1 x 237 NVMe SSD,Yes,0.39078
x8g.xlarge,Memory optimized,4,64 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 12.5 Gigabit,EBS only,Yes,0.3908
m9g.2xlarge,General purpose,8,32 GiB,AWS Graviton5 Processor,64-bit,,NA,Up to 17000 Megabit,EBS only,Yes,0.39136
c8gd.2xlarge,Compute optimized,8,16 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 15 Gigabit,1 x 475 NVMe SSD,Yes,0.39192
c4.2xlarge,Compute optimized,8,15 GiB,Intel Xeon E5-2666 v3 (Haswell),64-bit,,NA,High,EBS only,Yes,0.398
m4.2xlarge,General purpose,8,32 GiB,Intel Xeon E5-2676 v3 (Haswell),64-bit,,NA,High,EBS only,Yes,0.4
m8i-flex.2xlarge,General purpose,8,32 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 15000 Megabit,EBS only,Yes,0.4022
m7i.2xlarge,General purpose,8,32 GiB,Intel Xeon Scalable (Sapphire Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.4032
r6g.2xlarge,Memory optimized,8,64 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.4032
c6id.2xlarge,Compute optimized,8,16 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 12500 Megabit,1 x 474 NVMe SSD,Yes,0.4032
a1.4xlarge,General purpose,16,32 GiB,AWS Graviton Processor,64-bit,,NA,Up to 10 Gigabit,EBS only,No,0.408
c7a.2xlarge,Compute optimized,8,16 GiB,AMD EPYC 9R14 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.41056
m5ad.2xlarge,General purpose,8,32 GiB,AMD EPYC 7571,64-bit,,NA,Up to 10 Gigabit,1 x 300 NVMe SSD,Yes,0.412
m8azn.xlarge,General purpose,4,16 GiB,AMD EPYC 9575F,64-bit,,NA,Up to 40 Gigabit,EBS only,Yes,0.41292
m8ine.xlarge,General purpose,4,16.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,6.25 Gigabit,EBS only,Yes,0.4177
r8in.xlarge,Memory optimized,4,32.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 30 Gigabit,EBS only,Yes,0.4184
r8ib.xlarge,Memory optimized,4,32.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 20 Gigabit,EBS only,Yes,0.4184
g5g.xlarge,GPU instance,4,8 GiB,AWS Graviton2 Processor,64-bit,1,16 GB,Up to 10 Gigabit,EBS only,Yes,0.42
c3.2xlarge,Compute optimized,8,15 GiB,Intel Xeon E5-2680 v2 (Ivy Bridge),64-bit,,NA,High,2 x 80 SSD,No,0.42
m8i.2xlarge,General purpose,8,32 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 15000 Megabit,EBS only,Yes,0.42336
m7gd.2xlarge,General purpose,8,32 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 15 Gigabit,1 x 475 NVMe SSD,Yes,0.4271
c9gd.2xlarge,Compute optimized,8,16.0 GiB,AWS Graviton5 Processor,64-bit,,NA,Up to 17 Gigabit,1 x 474 NVMe SSD,Yes,0.4272
r7g.2xlarge,Memory optimized,8,64 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 15 Gigabit,EBS only,Yes,0.4284
c8a.2xlarge,Compute optimized,8,16 GiB,AMD EPYC 9R45 Processor,64-bit,,NA,Up to 15000 Megabit,EBS only,Yes,0.43108
c5n.2xlarge,Compute optimized,8,21 GiB,Intel Xeon Platinum 8124M,64-bit,,NA,Up to 25 Gigabit,EBS only,Yes,0.432
x8i.xlarge,Memory optimized,4,64 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.43766
c8id.2xlarge,Compute optimized,8,16 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 15000 Megabit,1 x 474 NVMe SSD,Yes,0.44352
r5a.2xlarge,Memory optimized,8,64 GiB,AMD EPYC 7571,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.452
i3en.xlarge,Storage optimized,4,32 GiB,Intel Xeon Platinum 8175,64-bit,,NA,Up to 25 Gigabit,1 x 2500 NVMe SSD,Yes,0.452
m5d.2xlarge,General purpose,8,32 GiB,Intel Xeon Platinum 8175,64-bit,,NA,Up to 10 Gigabit,1 x 300 NVMe SSD,Yes,0.452
c6in.2xlarge,Compute optimized,8,16 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 40000 Megabit,EBS only,Yes,0.4536
r6a.2xlarge,Memory optimized,8,64 GiB,AMD EPYC 7R13 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.4536
r6gd.2xlarge,Memory optimized,8,64 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,1 x 475 NVMe SSD,Yes,0.4608
m8gd.2xlarge,General purpose,8,32 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 15 Gigabit,1 x 475 NVMe SSD,Yes,0.46128
m7a.2xlarge,General purpose,8,32 GiB,AMD EPYC 9R14 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.46368
h1.2xlarge,Storage optimized,8,32 GiB,Intel Xeon E5-2686 v4 (Broadwell),64-bit,,NA,Up to 10 Gigabit,1 x 2000 HDD,Yes,0.468
r8idn.xlarge,Memory optimized,4,32.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 30 Gigabit,1 x 237 NVMe SSD,Yes,0.46894
r8idb.xlarge,Memory optimized,4,32.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 20 Gigabit,1 x 237 NVMe SSD,Yes,0.46894
r8g.2xlarge,Memory optimized,8,64 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 15 Gigabit,EBS only,Yes,0.47128
c8gn.2xlarge,Compute optimized,8,16 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 50 Gigabit,EBS only,Yes,0.474
c8gb.2xlarge,Compute optimized,8,16 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 33.333 Gigabit,EBS only,Yes,0.474
m6id.2xlarge,General purpose,8,32 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 12500 Megabit,1 x 474 NVMe SSD,Yes,0.4746
i8ge.xlarge,Storage optimized,4,32 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 25 Gigabit,1 x 2500 NVMe SSD,Yes,0.4746
g6f.2xlarge,GPU instance,8,32 GiB,AMD EPYC 7R13 Processor,64-bit,0.25,6 GB,Up to 10 Gigabit,1 x 200 NVMe SSD,Yes,0.475
m5n.2xlarge,General purpose,8,32 GiB,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,,NA,Up to 25 Gigabit,EBS only,Yes,0.476
m8a.2xlarge,General purpose,8,32 GiB,AMD EPYC 9R45 Processor,64-bit,,NA,Up to 15000 Megabit,EBS only,Yes,0.48688
m2.2xlarge,Memory optimized,4,34.2 GiB,Intel Xeon Family,64-bit,,NA,Moderate,1 x 850 SSD,No,0.49
d3.xlarge,Storage optimized,4,32 GiB,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,,NA,Up to 15 Gigabit,3 x 2000 HDD,Yes,0.499
c7gn.2xlarge,Compute optimized,8,16 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 50 Gigabit,EBS only,Yes,0.4992
m9gd.2xlarge,General purpose,8,32.0 GiB,AWS Graviton5 Processor,64-bit,,NA,Up to 17 Gigabit,1 x 474 NVMe SSD,Yes,0.5028
r5.2xlarge,Memory optimized,8,64 GiB,Intel Xeon Platinum 8175,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.504
r6i.2xlarge,Memory optimized,8,64 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.504
i7ie.xlarge,Storage optimized,4,32 GiB,Intel Xeon Scalable (Emerald Rapids),64-bit,,NA,Up to 25 Gigabit,1 x 2500 NVMe SSD,Yes,0.5198
c1.xlarge,Compute optimized,8,7 GiB,Intel Xeon Family,64-bit,,NA,High,4 x 420 SSD,No,0.52
m8id.2xlarge,General purpose,8,32 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 15000 Megabit,1 x 474 NVMe SSD,Yes,0.52208
r5ad.2xlarge,Memory optimized,8,64 GiB,AMD EPYC 7571,64-bit,,NA,Up to 10 Gigabit,1 x 300 NVMe SSD,Yes,0.524
g4dn.xlarge,GPU instance,4,16 GiB,Intel Xeon Family,64-bit,1,16 GB,Up to 25 Gigabit,125 GB NVMe SSD,Yes,0.526
d3en.xlarge,Storage optimized,4,16 GiB,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,,NA,Up to 25 Gigabit,2 x 14000 HDD,Yes,0.526
r8i-flex.2xlarge,Memory optimized,8,64 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 15000 Megabit,EBS only,Yes,0.52788
r7i.2xlarge,Memory optimized,8,64 GiB,Intel Xeon Scalable (Sapphire Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.5292
r4.2xlarge,Memory optimized,8,61 GiB,Intel Xeon E5-2686 v4 (Broadwell),64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.532
m3.2xlarge,General purpose,8,30 GiB,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),64-bit,,NA,High,2 x 80 SSD,No,0.532
g4ad.2xlarge,GPU instance,8,32 GiB,AMD EPYC 7R32,64-bit,1,8 GB,Up to 10 Gigabit,300 GB NVMe SSD,Yes,0.54117
c6g.4xlarge,Compute optimized,16,32 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.544
m5dn.2xlarge,General purpose,8,32 GiB,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,,NA,Up to 25 Gigabit,1 x 300 NVMe SSD,Yes,0.544
r7gd.2xlarge,Memory optimized,8,64 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 15 Gigabit,1 x 475 NVMe SSD,Yes,0.5443
c8in.2xlarge,Compute optimized,8,16 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 40 Gigabit,EBS only,Yes,0.54432
c8ib.2xlarge,Compute optimized,8,16 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 26.667 Gigabit,EBS only,Yes,0.54432
r8i.2xlarge,Memory optimized,8,64 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 15000 Megabit,EBS only,Yes,0.55568
g5g.2xlarge,GPU instance,8,16 GiB,AWS Graviton2 Processor,64-bit,1,16 GB,Up to 10 Gigabit,EBS only,Yes,0.556
m6in.2xlarge,General purpose,8,32 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 40000 Megabit,EBS only,Yes,0.55692
r5d.2xlarge,Memory optimized,8,64 GiB,Intel Xeon Platinum 8175,64-bit,,NA,Up to 10 Gigabit,1 x 300 NVMe SSD,Yes,0.576
is4gen.xlarge,Storage optimized,4,24 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 25 Gigabit,1 x 3750 SSD,Yes,0.5763
c7g.4xlarge,Compute optimized,16,32 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 15 Gigabit,EBS only,Yes,0.58
m8gn.2xlarge,General purpose,8,32 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 50 Gigabit,EBS only,Yes,0.582
m8gb.2xlarge,General purpose,8,32 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 33.333 Gigabit,EBS only,Yes,0.582
r8gd.2xlarge,Memory optimized,8,64 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 15 Gigabit,1 x 475 NVMe SSD,Yes,0.58784
r5n.2xlarge,Memory optimized,8,64 GiB,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,,NA,Up to 25 Gigabit,EBS only,Yes,0.596
r5b.2xlarge,Memory optimized,8,64 GiB,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.596
r6id.2xlarge,Memory optimized,8,64 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 12500 Megabit,1 x 474 NVMe SSD,Yes,0.6048
r7a.2xlarge,Memory optimized,8,64 GiB,AMD EPYC 9R14 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.6086
c6a.4xlarge,Compute optimized,16,32 GiB,AMD EPYC 7R13 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.612
c6gd.4xlarge,Compute optimized,16,32 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,1 x 950 NVMe SSD,Yes,0.6144
c5a.4xlarge,Compute optimized,16,32 GiB,AMD EPYC 7R32,32-bit or 64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.616
m6g.4xlarge,General purpose,16,64 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.616
i4g.2xlarge,Storage optimized,8,64 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 12 Gigabit,1 x 1875 SSD,Yes,0.61776
i3.2xlarge,Storage optimized,8,61 GiB,Intel Xeon E5-2686 v4 (Broadwell),64-bit,,NA,Up to 10 Gigabit,1 x 1900 NVMe SSD,Yes,0.624
m6idn.2xlarge,General purpose,8,32 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 40000 Megabit,1 x 474 NVMe SSD,Yes,0.63648
c8g.4xlarge,Compute optimized,16,32 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 15 Gigabit,EBS only,Yes,0.63808
r8a.2xlarge,Memory optimized,8,64 GiB,AMD EPYC 9R45 Processor,64-bit,,NA,Up to 15000 Megabit,EBS only,Yes,0.63904
g2.2xlarge,GPU instance,8,15 GiB,Intel Xeon E5-2670 (Sandy Bridge),64-bit,1,NA,Moderate,1 x 60 SSD,No,0.65
vt1.3xlarge,Media Accelerator Instances,12,24 GiB,Intel Xeon Platinum 8259CL,64-bit,,NA,3125 Megabit,EBS only,Yes,0.65
m7g.4xlarge,General purpose,16,64 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 15 Gigabit,EBS only,Yes,0.6528
m5zn.2xlarge,General purpose,8,32 GiB,Intel Xeon Platinum 8252,64-bit,,NA,Up to 25 Gigabit,EBS only,Yes,0.6607
r3.2xlarge,Memory optimized,8,61 GiB,Intel Xeon E5-2670 v2 (Ivy Bridge),64-bit,,NA,High,1 x 160 SSD,No,0.665
r8id.2xlarge,Memory optimized,8,64 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 15000 Megabit,1 x 474 NVMe SSD,Yes,0.66528
