instance,family,vcpu,memory,cpu,arch,gpu,gpu_mem,net,storage,gen,usd_hr
x2iedn.24xlarge,Memory optimized,96,3072 GiB,Intel Xeon Scalable (Icelake),64-bit,,NA,75 Gigabit,2 x 1425 NVMe SSD,Yes,20.007
r8ib.48xlarge,Memory optimized,192,1536.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,200 Gigabit,EBS only,Yes,20.0832
r8in.48xlarge,Memory optimized,192,1536.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,300 Gigabit,EBS only,Yes,20.0832
m8i.96xlarge,General purpose,384,1536 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,100000 Megabit,EBS only,Yes,20.32128
x8i.48xlarge,Memory optimized,192,3072 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,75000 Megabit,EBS only,Yes,21.00768
c8id.96xlarge,Compute optimized,384,768 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,100000 Megabit,6 x 3800 NVMe SSD,Yes,21.28896
trn1.32xlarge,Machine Learning ASIC Instances,128,512 GiB,Intel Xeon Scalable (Icelake),64-bit,16,512 GB,800 Gigabit,4 x 1900 NVMe SSD,Yes,21.5
p4d.24xlarge,GPU instance,96,1152 GiB,Intel Xeon Platinum 8275L,64-bit,8,320 GB HBM2,400 Gigabit,8 x 1000 SSD,Yes,21.957642
r8idb.48xlarge,Memory optimized,192,1536.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,200 Gigabit,3 x 3800 NVMe SSD,Yes,22.50912
r8idn.48xlarge,Memory optimized,192,1536.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,300 Gigabit,3 x 3800 NVMe SSD,Yes,22.50912
i8ge.48xlarge,Storage optimized,192,1536 GiB,AWS Graviton4 Processor,64-bit,,NA,300 Gigabit,16 x 7500 NVMe SSD,Yes,22.7808
p3.16xlarge,GPU instance,64,488 GiB,Intel Xeon E5-2686 v4 (Broadwell),64-bit,8,128 GiB,25 Gigabit,EBS only,Yes,24.48
trn1n.32xlarge,Machine Learning ASIC Instances,128,512 GiB,Intel Xeon Scalable (Icelake),64-bit,16,512 GB,1600 Gigabit,4 x 1900 NVMe SSD,Yes,24.78
i7ie.48xlarge,Storage optimized,192,1536 GiB,Intel Xeon Scalable (Emerald Rapids),64-bit,,NA,100 Gigabit,16 x 7500 NVMe SSD,Yes,24.9504
m8id.96xlarge,General purpose,384,1536 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,100000 Megabit,6 x 3800 NVMe SSD,Yes,25.05984
c8ib.96xlarge,Compute optimized,384,768 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,400 Gigabit,EBS only,Yes,26.12736
c8in.96xlarge,Compute optimized,384,768 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,600 Gigabit,EBS only,Yes,26.12736
r8i.96xlarge,Memory optimized,384,3072 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,100000 Megabit,EBS only,Yes,26.67264
x2iedn.32xlarge,Memory optimized,128,4096 GiB,Intel Xeon Scalable (Icelake),64-bit,,NA,100 Gigabit,2 x 1900 NVMe SSD,Yes,26.676
x1e.32xlarge,Memory optimized,128,3904 GiB,High Frequency Intel Xeon E7-8880 v3 (Haswell),64-bit,,NA,25 Gigabit,2 x 1920 SSD,Yes,26.688
u-3tb1.56xlarge,Memory optimized,224,3072 GiB,Intel Xeon Scalable (Skylake),64-bit,,NA,50 Gigabit,EBS only,Yes,27.3
p4de.24xlarge,GPU instance,96,1152 GiB,Intel Xeon Platinum 8275L,64-bit,8,640 GB HBM2e,400 Gigabit,8 x 1000 SSD,Yes,27.44705
x8i.64xlarge,Memory optimized,256,4096 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,80000 Megabit,EBS only,Yes,28.01024
g7.48xlarge,GPU instance,192,768.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,8,256 GB,700 Gigabit,2x3800 GB NVMe SSD,Yes,28.51328
g6e.48xlarge,GPU instance,192,1536 GiB,AMD EPYC 7R13 Processor,64-bit,8,384 GB,400 Gigabit,4 x 1900 GB NVMe SSD,Yes,30.13118
p3dn.24xlarge,GPU instance,96,768 GiB,Intel Xeon Platinum 8175 (Skylake),64-bit,8,256 GiB,100 Gigabit,2 x 900 NVMe SSD,Yes,31.212
r8id.96xlarge,Memory optimized,384,3072 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,100000 Megabit,6 x 3800 NVMe SSD,Yes,31.93344
m8in.96xlarge,General purpose,384,1536.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,600 Gigabit,EBS only,Yes,32.07936
m8ib.96xlarge,General purpose,384,1536.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,400 Gigabit,EBS only,Yes,32.07936
g7e.48xlarge,GPU instance,192,2048 GiB,Intel Xeon Scalable (Emerald Rapids),64-bit,8,768 GB,1600 Gigabit,4 x 3800 NVMe SSD,Yes,33.14432
m8idn.96xlarge,General purpose,384,1536.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,600 Gigabit,6 x 3800 NVMe SSD,Yes,36.66048
m8idb.96xlarge,General purpose,384,1536.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,400 Gigabit,6 x 3800 NVMe SSD,Yes,36.66048
r8in.96xlarge,Memory optimized,384,3072.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,600 Gigabit,EBS only,Yes,40.1664
r8ib.96xlarge,Memory optimized,384,3072.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,400 Gigabit,EBS only,Yes,40.1664
r8idb.96xlarge,Memory optimized,384,3072.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,400 Gigabit,6 x 3800 NVMe SSD,Yes,45.01824
r8idn.96xlarge,Memory optimized,384,3072.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,600 Gigabit,6 x 3800 NVMe SSD,Yes,45.01824
u-6tb1.56xlarge,Memory optimized,224,6144 GiB,Intel Xeon Scalable (Skylake),64-bit,,NA,100 Gigabit,EBS only,Yes,46.40391
x8i.96xlarge,Memory optimized,384,6144 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,100000 Megabit,EBS only,Yes,48.74438
u-6tb1.112xlarge,Memory optimized,448,6144 GiB,Intel Xeon Scalable (Skylake),64-bit,,NA,100 Gigabit,EBS only,Yes,54.6
p5.48xlarge,GPU instance,192,2048 GiB,AMD EPYC 7R13 Processor,64-bit,8,640 GB HBM3,3200 Gigabit,8 x 3840 GB SSD,Yes,55.04
u7i-6tb.112xlarge,Memory optimized,448,6144 GiB,Intel Xeon Scalable (Sapphire Rapids),64-bit,,NA,100 Gigabit,EBS only,Yes,62.79
p5en.48xlarge,GPU instance,192,2048 GiB,Intel Xeon Scalable (Sapphire Rapids),64-bit,8,141 GB HBM3e,3200 Gigabit,8 x 3840 NVMe SSD,Yes,63.296
u-9tb1.112xlarge,Memory optimized,448,9216 GiB,Intel Xeon Scalable (Skylake),64-bit,,NA,100 Gigabit,EBS only,No,81.9
u7i-8tb.112xlarge,Memory optimized,448,8192 GiB,Intel Xeon Scalable (Sapphire Rapids),64-bit,,NA,100 Gigabit,EBS only,Yes,83.72
u-12tb1.112xlarge,Memory optimized,448,12288 GiB,Intel Xeon Scalable (Skylake),64-bit,,NA,100 Gigabit,EBS only,No,109.2
p6-b200.48xlarge,GPU instance,192,2048 GiB,Intel Xeon Scalable (Emerald Rapids),64-bit,8,1432 GB HBM3e,3200 Gigabit,8 x 3840 NVMe SSD,Yes,113.9328
u7i-12tb.224xlarge,Memory optimized,896,12288 GiB,Intel Xeon Scalable (Sapphire Rapids),64-bit,,NA,100 Gigabit,EBS only,Yes,125.58182
p6-b300.48xlarge,GPU instance,192,4096 GiB,Intel Xeon Scalable (Emerald Rapids),64-bit,8,2144 GB HBM3e,6400 Gigabit,8 x 3840 NVMe SSD,Yes,142.416
u-18tb1.112xlarge,Memory optimized,448,18432 GiB,Intel Xeon Platinum 8280L (Cascade Lake),64-bit,,NA,100 Gigabit,EBS only,No,163.8
u7in-16tb.224xlarge,Memory optimized,896,16384 GiB,Intel Xeon Scalable (Sapphire Rapids),32-bit or 64-bit,,NA,200 Gigabit,EBS only,Yes,180.47558
u-24tb1.112xlarge,Memory optimized,448,24576 GiB,Intel Xeon Platinum 8280L (Cascade Lake),64-bit,,NA,100 Gigabit,EBS only,No,218.4
u7in-24tb.224xlarge,Memory optimized,896,24576 GiB,Intel Xeon Scalable (Sapphire Rapids),64-bit,,NA,200 Gigabit,EBS only,Yes,270.73128
u7in-32tb.224xlarge,Memory optimized,896,32768 GiB,Intel Xeon Scalable (Sapphire Rapids),64-bit,,NA,200 Gigabit,EBS only,Yes,360.98695
